entity_id,name,entity_type,description,difficulty,tags
DS-06-002,二叉树,知识点,二叉树是每个结点最多有两个子树的树结构，左右子树有次序。,基础,树与二叉树|数据结构
DS-06-003,满二叉树,知识点,满二叉树是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,树与二叉树|数据结构
DS-06-004,完全二叉树,知识点,完全二叉树除最后一层外其余层都满，最后一层结点从左到右连续排列。,基础,树与二叉树|数据结构
DS-06-005,二叉树性质,知识点,二叉树性质包括第 i 层最多 2^(i-1) 个结点、深度 k 的二叉树最多 2^k-1 个结点，以及完全二叉树可用数组高效存储。,基础,树与二叉树|数据结构
DS-06-006,顺序存储二叉树,知识点,顺序存储二叉树是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,树与二叉树|数据结构
DS-06-007,链式存储二叉树,知识点,链式存储二叉树是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,树与二叉树|数据结构
DS-06-008,先序遍历,知识点,先序遍历按根、左子树、右子树的顺序访问二叉树结点。,基础,树与二叉树|数据结构
DS-06-009,中序遍历,知识点,中序遍历按左子树、根、右子树的顺序访问二叉树结点，二叉排序树的中序序列为非递减序列。,基础,树与二叉树|数据结构
DS-06-010,后序遍历,知识点,后序遍历按左子树、右子树、根的顺序访问二叉树结点，常用于先处理子问题再合并结果的场景。,基础,树与二叉树|数据结构
DS-06-011,层序遍历,知识点,层序遍历按树的层次从上到下、从左到右访问结点，通常借助队列实现。,基础,树与二叉树|数据结构
DS-06-012,线索二叉树,知识点,线索二叉树是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,树与二叉树|数据结构
DS-06-013,哈夫曼树,知识点,哈夫曼树是带权路径长度最小的二叉树，常用于构造最优前缀编码。,基础,树与二叉树|数据结构
DS-06-014,哈夫曼编码,知识点,哈夫曼编码是一种变长前缀编码，高频字符使用短编码，低频字符使用长编码。,基础,树与二叉树|数据结构
DS-07-001,树森林二叉树转换,知识点,树森林二叉树转换是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,森林与并查集|数据结构
DS-07-002,孩子兄弟表示法,知识点,孩子兄弟表示法是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,森林与并查集|数据结构
DS-07-003,并查集,知识点,并查集用于维护若干不相交集合，支持查找元素所在集合与合并两个集合。,基础,森林与并查集|数据结构
DS-07-004,路径压缩,知识点,路径压缩是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,森林与并查集|数据结构
DS-07-005,按秩合并,知识点,按秩合并是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,森林与并查集|数据结构
DS-08-001,图的基本概念,知识点,图由顶点集合和边集合组成，可分为有向图、无向图、带权图等，用于表示复杂对象关系。,提高,图|数据结构
DS-08-002,邻接矩阵,知识点,邻接矩阵用二维数组表示顶点之间是否存在边或边权，适合稠密图，判断两点是否相邻效率高。,基础,图|数据结构
DS-08-003,邻接表,知识点,邻接表为每个顶点维护一个边表，适合稀疏图，空间复杂度通常为 O(n+e)。,基础,图|数据结构
DS-08-005,邻接多重表,知识点,邻接多重表是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,图|数据结构
DS-08-006,DFS,知识点,深度优先搜索从某一顶点出发尽可能深入访问未访问邻接点，常用递归或栈实现。,基础,图|数据结构
DS-08-007,BFS,知识点,广度优先搜索从起点按距离层次逐步扩展访问，常用队列实现，可求无权图最短路径。,基础,图|数据结构
DS-08-008,连通分量,知识点,连通分量是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,图|数据结构
DS-08-009,拓扑排序,知识点,拓扑排序将有向无环图中的顶点排成线性序列，使每条有向边的起点都在终点之前。,基础,图|数据结构
DS-08-010,关键路径,知识点,关键路径是 AOE 网中从源点到汇点的最长路径，决定工程最短完成时间。,提高,图|数据结构
DS-08-011,最小生成树,知识点,最小生成树是在连通无向带权图中连接所有顶点且总权值最小的生成树。,基础,图|数据结构
DS-08-012,Prim算法,知识点,Prim算法从一个顶点集合开始，每次选择连接集合内外的最小权边扩展生成树。,基础,图|数据结构
DS-08-013,Kruskal算法,知识点,Kruskal算法按边权从小到大选择不形成回路的边，直到生成树包含 n-1 条边。,基础,图|数据结构
DS-08-014,单源最短路径,知识点,单源最短路径是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,图|数据结构
DS-08-015,Dijkstra算法,知识点,Dijkstra算法用于求非负权图的单源最短路径，每轮确定一个当前距离最小的未确定顶点。,基础,图|数据结构
DS-08-016,Bellman-Ford算法,知识点,Bellman-Ford算法是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,图|数据结构
DS-08-017,多源最短路径,知识点,多源最短路径是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,图|数据结构
DS-08-018,Floyd算法,知识点,Floyd算法通过动态规划求所有顶点对之间的最短路径，时间复杂度为 O(n^3)。,基础,图|数据结构
DS-09-001,顺序查找,知识点,顺序查找从表的一端开始逐个比较，适用于顺序存储或链式存储，效率较低但实现简单。,基础,查找|数据结构
DS-09-002,折半查找,知识点,折半查找要求查找表有序且支持随机访问，每次将查找范围缩小一半。,基础,查找|数据结构
DS-09-003,分块查找,知识点,分块查找是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,查找|数据结构
DS-09-004,二叉排序树,知识点,二叉排序树满足左子树关键字小于根、右子树关键字大于根，中序遍历可得到有序序列。,基础,查找|数据结构
DS-09-005,平衡二叉树AVL,知识点,AVL树是任一结点左右子树高度差不超过1的二叉排序树，通过旋转保持平衡。,提高,查找|数据结构
DS-09-006,红黑树基础,知识点,红黑树基础是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,查找|数据结构
DS-09-007,B树,知识点,B树是一种多路平衡查找树，适合磁盘索引，能减少外存访问次数。,提高,查找|数据结构
DS-09-008,B+树,知识点,B+树将实际记录或记录指针集中存放在叶子结点，叶子结点通常顺序链接，适合范围查询和数据库索引。,提高,查找|数据结构
DS-09-009,散列表,知识点,散列表通过哈希函数将关键字映射到存储地址，理想情况下查找、插入、删除接近 O(1)。,基础,查找|数据结构
DS-09-010,哈希函数,知识点,哈希函数将关键字转换为表地址，设计目标是计算简单、分布均匀、减少冲突。,基础,查找|数据结构
DS-09-011,冲突处理,知识点,冲突处理用于解决不同关键字映射到同一地址的问题，常见方法包括开放定址法和链地址法。,基础,查找|数据结构
DS-09-012,装填因子,知识点,装填因子表示散列表中已存元素数量与表长之比，通常影响冲突概率和查找效率。,基础,查找|数据结构
DS-10-001,插入排序,知识点,插入排序每次将一个待排序元素插入到前面已有序序列中的合适位置。,基础,排序|数据结构
DS-10-002,折半插入排序,知识点,折半插入排序是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,排序|数据结构
DS-10-003,希尔排序,知识点,希尔排序按增量分组进行插入排序，使序列逐步接近有序，最后进行一次普通插入排序。,基础,排序|数据结构
DS-10-004,冒泡排序,知识点,冒泡排序反复比较相邻元素并交换逆序对，每趟将一个最大或最小元素移动到最终位置。,基础,排序|数据结构
DS-10-005,快速排序,知识点,快速排序通过枢轴划分将序列分为两部分，再递归排序，是平均效率很高的交换排序。,提高,排序|数据结构
DS-10-006,简单选择排序,知识点,简单选择排序每趟从无序区选择最小元素放到有序区末尾。,基础,排序|数据结构
DS-10-007,堆排序,知识点,堆排序利用堆结构反复取出堆顶元素完成排序，时间复杂度为 O(nlogn)，不稳定。,基础,排序|数据结构
DS-10-008,归并排序,知识点,归并排序采用分治思想，将序列递归分解后合并有序子序列，稳定且时间复杂度为 O(nlogn)。,基础,排序|数据结构
DS-10-009,基数排序,知识点,基数排序按关键字的各位进行分配和收集，适合位数有限的整数或字符串关键字。,基础,排序|数据结构
DS-10-010,外部排序,知识点,外部排序是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,排序|数据结构
DS-10-011,排序稳定性,知识点,排序稳定性指相等关键字元素排序前后的相对次序是否保持不变。,基础,排序|数据结构
DS-10-012,排序复杂度比较,知识点,排序复杂度比较是数据结构课程中的核心知识点，需要从定义、存储方式、基本操作、复杂度、典型应用和易错点六个方面掌握。,基础,排序|数据结构
DS-11-001,优先队列,知识点,优先队列支持按优先级访问和删除元素，通常用堆实现。,基础,高级结构与工程应用|数据结构
DS-11-002,堆,知识点,堆是一种满足父子结点关键字大小关系的完全二叉树，常用于优先队列和堆排序。,基础,高级结构与工程应用|数据结构
DS-11-003,Trie树,知识点,Trie树又称字典树，按字符路径存储字符串集合，适合前缀匹配和词典检索。,基础,高级结构与工程应用|数据结构
DS-11-004,线段树,知识点,线段树用于维护区间信息，支持区间查询和单点或区间修改。,基础,高级结构与工程应用|数据结构
DS-11-005,树状数组,知识点,树状数组用数组维护前缀信息，常用于动态前缀和查询与单点更新。,基础,高级结构与工程应用|数据结构
DS-11-006,跳表,知识点,跳表通过多级索引加速链表查找，平均查找、插入、删除复杂度为 O(logn)。,基础,高级结构与工程应用|数据结构
DS-11-007,LRU缓存,知识点,LRU缓存淘汰最近最少使用的数据，常用哈希表加双向链表实现。,基础,高级结构与工程应用|数据结构
DS-11-008,布隆过滤器,知识点,布隆过滤器是一种空间效率高的概率型集合结构，可判断元素一定不存在或可能存在。,基础,高级结构与工程应用|数据结构
DS-11-009,倒排索引,知识点,倒排索引建立词项到文档集合的映射，是搜索引擎和文本检索系统的重要基础结构。,基础,高级结构与工程应用|数据结构
OP-001,访问,操作,访问是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-002,插入,操作,插入是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-003,删除,操作,删除是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-004,查找,操作,查找是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-005,遍历,操作,遍历是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-006,排序,操作,排序是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-007,合并,操作,合并是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-008,初始化,操作,初始化是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-009,销毁,操作,销毁是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-010,判空,操作,判空是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-011,入栈,操作,入栈是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-012,出栈,操作,出栈是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-013,入队,操作,入队是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-014,出队,操作,出队是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-015,旋转,操作,旋转是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-016,哈希映射,操作,哈希映射是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-017,冲突处理,操作,冲突处理是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-018,递归,操作,递归是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
OP-019,回溯,操作,回溯是数据结构或算法中的常见操作，可用于复杂度分析和能力测评。,基础,操作|复杂度
APP-001,表达式求值,应用场景,表达式求值是数据结构知识的典型应用场景。,应用,应用|案例
APP-002,括号匹配,应用场景,括号匹配是数据结构知识的典型应用场景。,应用,应用|案例
APP-003,浏览器前进后退,应用场景,浏览器前进后退是数据结构知识的典型应用场景。,应用,应用|案例
APP-004,任务调度,应用场景,任务调度是数据结构知识的典型应用场景。,应用,应用|案例
APP-005,无权最短路径,应用场景,无权最短路径是数据结构知识的典型应用场景。,应用,应用|案例
APP-006,数据库索引,应用场景,数据库索引是数据结构知识的典型应用场景。,应用,应用|案例
APP-007,搜索引擎检索,应用场景,搜索引擎检索是数据结构知识的典型应用场景。,应用,应用|案例
APP-008,缓存淘汰,应用场景,缓存淘汰是数据结构知识的典型应用场景。,应用,应用|案例
APP-009,网络路由,应用场景,网络路由是数据结构知识的典型应用场景。,应用,应用|案例
APP-010,工程排期,应用场景,工程排期是数据结构知识的典型应用场景。,应用,应用|案例
APP-011,词典前缀查询,应用场景,词典前缀查询是数据结构知识的典型应用场景。,应用,应用|案例
APP-012,区间统计,应用场景,区间统计是数据结构知识的典型应用场景。,应用,应用|案例
APP-013,动态连通性,应用场景,动态连通性是数据结构知识的典型应用场景。,应用,应用|案例
APP-014,文件压缩,应用场景,文件压缩是数据结构知识的典型应用场景。,应用,应用|案例
